id,Size,Hit/Miss,Time(ms),,
76,2742,Hit,0.43872,1.122002399,6.101323747
77,2613,Hit,0.41808,,
75,2827,Hit,0.45232,,
78,310,Hit,0.0496,,
27,3583,Hit,0.57328,,
79,956,Hit,0.15296,,
79,671,Hit,0.10736,,
79,671,Hit,0.10736,,
27,3582,Hit,0.57312,,
76,2742,Hit,0.43872,,
75,2827,Hit,0.45232,,
79,956,Hit,0.15296,,
81,3582,Hit,0.57312,,
79,671,Hit,0.10736,,
27,3582,Hit,0.57312,,
79,671,Hit,0.10736,,
27,3582,Hit,0.57312,,
79,671,Hit,0.10736,,
27,3582,Hit,0.57312,,
77,2613,Hit,0.41808,,
76,2742,Hit,0.43872,,
75,2827,Hit,0.45232,,
27,3583,Hit,0.57328,,
78,310,Hit,0.0496,,
79,956,Hit,0.15296,,
81,3588,Hit,0.57408,,
76,2742,Hit,0.43872,,
78,310,Hit,0.0496,,
75,2827,Hit,0.45232,,
27,3577,Hit,0.57232,,
79,956,Hit,0.15296,,
79,956,Hit,0.15296,,
79,671,Hit,0.10736,,
92,1786,Hit,0.28576,,
63,2566,Hit,0.41056,,
93,215,Hit,0.0344,,
94,1064,Hit,0.17024,,
95,3508,Hit,0.56128,,
108,3487,Hit,0.55792,,
27,3597,Hit,0.57552,,
79,956,Hit,0.15296,,
79,671,Hit,0.10736,,
79,671,Hit,0.10736,,
27,3596,Hit,0.57536,,
79,671,Hit,0.10736,,
27,3596,Hit,0.57536,,
79,671,Hit,0.10736,,
79,671,Hit,0.10736,,
27,3610,Hit,0.5776,,
79,671,Hit,0.10736,,
79,671,Hit,0.10736,,
27,3601,Hit,0.57616,,
79,671,Hit,0.10736,,
27,3601,Hit,0.57616,,
27,3601,Hit,0.57616,,
138,42,Hit,0.00672,,
136,6553,Hit,1.04848,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
3,1822,Hit,0.29152,,
6,5822,Hit,0.93152,,
4,3379,Hit,0.54064,,
5,1358,Hit,0.21728,,
7,3508,Hit,0.56128,,
8,989,Hit,0.15824,,
10,2827,Hit,0.45232,,
12,2411,Hit,0.38576,,
13,310,Hit,0.0496,,
15,705,Hit,0.1128,,
11,100,Hit,0.016,,
16,357,Hit,0.05712,,
9,2650,Hit,0.424,,
17,351,Hit,0.05616,,
18,2613,Hit,0.41808,,
19,404,Hit,0.06464,,
20,4175,Hit,0.668,,
21,588,Hit,0.09408,,
14,2742,Hit,0.43872,,
22,415,Hit,0.0664,,
24,431,Hit,0.06896,,
23,2954,Hit,0.47264,,
25,581,Hit,0.09296,,
26,322,Hit,0.05152,,
27,3589,Hit,0.57424,,
28,2880,Hit,0.4608,,
29,100,Hit,0.016,,
30,271,Hit,0.04336,,
32,705,Hit,0.1128,,
33,357,Hit,0.05712,,
31,314,Hit,0.05024,,
34,351,Hit,0.05616,,
35,400,Hit,0.064,,
37,101,Hit,0.01616,,
36,588,Hit,0.09408,,
38,415,Hit,0.0664,,
39,581,Hit,0.09296,,
42,297,Hit,0.04752,,
40,322,Hit,0.05152,,
41,431,Hit,0.06896,,
79,956,Hit,0.15296,,
80,369,Hit,0.05904,,
45,2880,Hit,0.4608,,
44,203,Hit,0.03248,,
48,141,Hit,0.02256,,
49,162,Hit,0.02592,,
50,177,Hit,0.02832,,
51,162,Hit,0.02592,,
52,189,Hit,0.03024,,
53,168,Hit,0.02688,,
54,132,Hit,0.02112,,
55,165,Hit,0.0264,,
56,157,Hit,0.02512,,
57,154,Hit,0.02464,,
58,163,Hit,0.02608,,
59,180,Hit,0.0288,,
60,514,Hit,0.08224,,
61,518,Hit,0.08288,,
62,590,Hit,0.0944,,
63,2566,Hit,0.41056,,
69,989,Hit,0.15824,,
74,2650,Hit,0.424,,
73,2411,Hit,0.38576,,
75,2827,Hit,0.45232,,
76,2742,Hit,0.43872,,
78,310,Hit,0.0496,,
27,3583,Hit,0.57328,,
79,956,Hit,0.15296,,
67,337,Hit,0.05392,,
66,346,Hit,0.05536,,
76,2742,Hit,0.43872,,
71,4175,Hit,0.668,,
72,404,Hit,0.06464,,
78,310,Hit,0.0496,,
73,2411,Hit,0.38576,,
70,2954,Hit,0.47264,,
75,2827,Hit,0.45232,,
77,2613,Hit,0.41808,,
27,3592,Hit,0.57472,,
70,2954,Hit,0.47264,,
77,2613,Hit,0.41808,,
75,2827,Hit,0.45232,,
73,2411,Hit,0.38576,,
27,3577,Hit,0.57232,,
79,956,Hit,0.15296,,
79,671,Hit,0.10736,,
75,2827,Hit,0.45232,,
77,2613,Hit,0.41808,,
70,2954,Hit,0.47264,,
73,2411,Hit,0.38576,,
79,956,Hit,0.15296,,
79,671,Hit,0.10736,,
27,3591,Hit,0.57456,,
27,3596,Hit,0.57536,,
79,956,Hit,0.15296,,
27,3577,Hit,0.57232,,
79,956,Hit,0.15296,,
195,1789,Hit,0.28624,,
196,215,Hit,0.0344,,
197,1064,Hit,0.17024,,
198,3508,Hit,0.56128,,
203,3770,Hit,0.6032,,
143,577,Hit,0.09232,,
142,12215,Hit,1.9544,,
305,43,Hit,0.00688,,
203,3770,Hit,0.6032,,
327,42,Hit,0.00672,,
380,1349,Hit,0.21584,,
384,1087,Hit,0.17392,,
385,4069,Hit,0.65104,,
386,3812,Hit,0.60992,,
391,1649,Hit,0.26384,,
394,1665,Hit,0.2664,,
396,7871,Hit,1.25936,,
395,1168,Hit,0.18688,,
399,1977,Hit,0.31632,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
391,1649,Hit,0.26384,,
394,1665,Hit,0.2664,,
393,9844,Hit,1.57504,,
396,7871,Hit,1.25936,,
393,9844,Hit,1.57504,,
394,1665,Hit,0.2664,,
396,7871,Hit,1.25936,,
134,3770,Hit,0.6032,,
399,1977,Hit,0.31632,,
399,1977,Hit,0.31632,,
393,9844,Hit,1.57504,,
394,1665,Hit,0.2664,,
396,7871,Hit,1.25936,,
395,1168,Hit,0.18688,,
134,3770,Hit,0.6032,,
399,1977,Hit,0.31632,,
398,1460,Hit,0.2336,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
3,1822,Hit,0.29152,,
6,5822,Hit,0.93152,,
4,3379,Hit,0.54064,,
5,1358,Hit,0.21728,,
7,3508,Hit,0.56128,,
8,989,Hit,0.15824,,
11,100,Hit,0.016,,
10,2827,Hit,0.45232,,
12,2411,Hit,0.38576,,
9,2650,Hit,0.424,,
13,310,Hit,0.0496,,
15,705,Hit,0.1128,,
16,357,Hit,0.05712,,
17,351,Hit,0.05616,,
14,2742,Hit,0.43872,,
19,404,Hit,0.06464,,
18,2613,Hit,0.41808,,
20,4175,Hit,0.668,,
21,588,Hit,0.09408,,
22,415,Hit,0.0664,,
23,2954,Hit,0.47264,,
24,431,Hit,0.06896,,
25,581,Hit,0.09296,,
26,322,Hit,0.05152,,
28,2880,Hit,0.4608,,
30,271,Hit,0.04336,,
42,297,Hit,0.04752,,
29,100,Hit,0.016,,
33,357,Hit,0.05712,,
31,314,Hit,0.05024,,
35,400,Hit,0.064,,
36,588,Hit,0.09408,,
34,351,Hit,0.05616,,
32,705,Hit,0.1128,,
37,101,Hit,0.01616,,
79,956,Hit,0.15296,,
80,369,Hit,0.05904,,
44,203,Hit,0.03248,,
45,2880,Hit,0.4608,,
47,69063,Hit,11.0501,,
48,141,Hit,0.02256,,
49,162,Hit,0.02592,,
50,177,Hit,0.02832,,
51,162,Hit,0.02592,,
52,189,Hit,0.03024,,
53,168,Hit,0.02688,,
54,132,Hit,0.02112,,
55,165,Hit,0.0264,,
56,157,Hit,0.02512,,
57,154,Hit,0.02464,,
58,163,Hit,0.02608,,
59,180,Hit,0.0288,,
60,514,Hit,0.08224,,
61,518,Hit,0.08288,,
62,590,Hit,0.0944,,
63,2566,Hit,0.41056,,
67,337,Hit,0.05392,,
66,346,Hit,0.05536,,
69,989,Hit,0.15824,,
70,2954,Hit,0.47264,,
71,4175,Hit,0.668,,
39,581,Hit,0.09296,,
74,2650,Hit,0.424,,
34,351,Hit,0.05616,,
36,588,Hit,0.09408,,
72,404,Hit,0.06464,,
77,2613,Hit,0.41808,,
75,2827,Hit,0.45232,,
78,310,Hit,0.0496,,
76,2742,Hit,0.43872,,
40,322,Hit,0.05152,,
41,431,Hit,0.06896,,
32,705,Hit,0.1128,,
73,2411,Hit,0.38576,,
38,415,Hit,0.0664,,
27,3584,Hit,0.57344,,
37,101,Hit,0.01616,,
79,956,Hit,0.15296,,
81,3582,Hit,0.57312,,
79,956,Hit,0.15296,,
81,3590,Hit,0.5744,,
420,395,Hit,0.0632,,
421,395,Hit,0.0632,,
421,395,Hit,0.0632,,
7,669,Hit,0.10704,,
421,395,Hit,0.0632,,
200,608,Hit,0.09728,,
201,715,Hit,0.1144,,
202,3379,Hit,0.54064,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
460,104,Hit,0.01664,,
456,36029,Hit,5.76464,,
467,33330,Hit,5.3328,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
1,7454,Hit,1.19264,,
142,12215,Hit,1.9544,,
143,577,Hit,0.09232,,
204,68,Hit,0.01088,,
477,3770,Hit,0.6032,,
481,2394,Hit,0.38304,,
468,6540,Hit,1.0464,,
142,12215,Hit,1.9544,,
143,577,Hit,0.09232,,
204,68,Hit,0.01088,,
481,2394,Hit,0.38304,,
502,3368,Hit,0.53888,,
203,3770,Hit,0.6032,,
205,7454,Hit,1.19264,,
204,68,Hit,0.01088,,
206,40773,Hit,6.52368,,
468,6540,Hit,1.0464,,
142,12215,Hit,1.9544,,
143,577,Hit,0.09232,,
527,277,Hit,0.04432,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
1,7454,Hit,1.19264,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
143,577,Hit,0.09232,,
142,12215,Hit,1.9544,,
142,12215,Hit,1.9544,,
204,68,Hit,0.01088,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
554,4223,Hit,0.67568,,
554,7922,Hit,1.26752,,
573,6707,Hit,1.07312,,
573,6707,Hit,1.07312,,
562,605,Hit,0.0968,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
0,68,Hit,0.01088,,
3,1822,Hit,0.29152,,
4,3379,Hit,0.54064,,
5,1358,Hit,0.21728,,
6,5822,Hit,0.93152,,
424,741,Hit,0.11856,,
423,337,Hit,0.05392,,
8,989,Hit,0.15824,,
11,100,Hit,0.016,,
10,2827,Hit,0.45232,,
12,2411,Hit,0.38576,,
9,2650,Hit,0.424,,
13,310,Hit,0.0496,,
14,2742,Hit,0.43872,,
15,705,Hit,0.1128,,
16,357,Hit,0.05712,,
17,351,Hit,0.05616,,
19,404,Hit,0.06464,,
18,2613,Hit,0.41808,,
20,4175,Hit,0.668,,
21,588,Hit,0.09408,,
22,415,Hit,0.0664,,
23,2954,Hit,0.47264,,
24,431,Hit,0.06896,,
25,581,Hit,0.09296,,
26,322,Hit,0.05152,,
29,100,Hit,0.016,,
28,2880,Hit,0.4608,,
30,271,Hit,0.04336,,
39,581,Hit,0.09296,,
36,588,Hit,0.09408,,
41,431,Hit,0.06896,,
38,415,Hit,0.0664,,
40,322,Hit,0.05152,,
32,705,Hit,0.1128,,
34,351,Hit,0.05616,,
31,314,Hit,0.05024,,
35,400,Hit,0.064,,
37,101,Hit,0.01616,,
33,357,Hit,0.05712,,
42,297,Hit,0.04752,,
67,337,Hit,0.05392,,
66,346,Hit,0.05536,,
45,2880,Hit,0.4608,,
44,203,Hit,0.03248,,
47,69063,Hit,11.0501,,
48,141,Hit,0.02256,,
49,162,Hit,0.02592,,
50,177,Hit,0.02832,,
51,162,Hit,0.02592,,
52,189,Hit,0.03024,,
53,168,Hit,0.02688,,
54,132,Hit,0.02112,,
55,165,Hit,0.0264,,
56,157,Hit,0.02512,,
57,154,Hit,0.02464,,
58,163,Hit,0.02608,,
59,180,Hit,0.0288,,
60,514,Hit,0.08224,,
61,518,Hit,0.08288,,
62,590,Hit,0.0944,,
63,2566,Hit,0.41056,,
69,989,Hit,0.15824,,
74,2650,Hit,0.424,,
76,2742,Hit,0.43872,,
77,2613,Hit,0.41808,,
70,2954,Hit,0.47264,,
71,4175,Hit,0.668,,
72,404,Hit,0.06464,,
73,2411,Hit,0.38576,,
75,2827,Hit,0.45232,,
78,310,Hit,0.0496,,
124,203,Hit,0.03248,,
631,1101,Hit,0.17616,,
638,1101,Hit,0.17616,,
634,1795,Hit,0.2872,,
635,215,Hit,0.0344,,
636,1064,Hit,0.17024,,
637,3510,Hit,0.5616,,
110,259,Hit,0.04144,,
109,596,Hit,0.09536,,
111,2922,Hit,0.46752,,
200,608,Hit,0.09728,,
201,715,Hit,0.1144,,
202,3379,Hit,0.54064,,
4,3379,Hit,0.54064,,
6,5822,Hit,0.93152,,
7,649,Hit,0.10384,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
1,7454,Hit,1.19264,,
391,1649,Hit,0.26384,,
391,1649,Hit,0.26384,,
393,9844,Hit,1.57504,,
394,1665,Hit,0.2664,,
399,1977,Hit,0.31632,,
396,7871,Hit,1.25936,,
395,1168,Hit,0.18688,,
714,49,Hit,0.00784,,
714,49,Hit,0.00784,,
714,49,Hit,0.00784,,
713,7090,Hit,1.1344,,
715,393,Hit,0.06288,,
716,343,Hit,0.05488,,
809,43,Hit,0.00688,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
398,3298,Hit,0.52768,,
772,2902,Hit,0.46432,,
390,111,Hit,0.01776,,
922,2512,Hit,0.40192,,
922,2512,Hit,0.40192,,
957,1496,Hit,0.23936,,
958,4163,Hit,0.66608,,
976,727,Hit,0.11632,,
988,803,Hit,0.12848,,
991,839,Hit,0.13424,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
0,68,Hit,0.01088,,
2,40773,Hit,6.52368,,
1017,6562,Hit,1.04992,,
1017,6562,Hit,1.04992,,
1033,12272,Hit,1.96352,,
391,1649,Hit,0.26384,,
392,9188,Hit,1.47008,,
393,9844,Hit,1.57504,,
394,1665,Hit,0.2664,,
396,7871,Hit,1.25936,,
399,1977,Hit,0.31632,,
395,1168,Hit,0.18688,,
401,11352,Hit,1.81632,,
403,1561,Hit,0.24976,,
402,4622,Hit,0.73952,,
1219,27429,Hit,4.38864,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
0,68,Hit,0.01088,,
141,1513,Hit,0.24208,,
142,12215,Hit,1.9544,,
143,577,Hit,0.09232,,
1227,2417,Hit,0.38672,,
575,499,Hit,0.07984,,
134,3770,Hit,0.6032,,
2,40773,Hit,6.52368,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
142,12215,Hit,1.9544,,
143,577,Hit,0.09232,,
541,2295,Hit,0.3672,,
134,3770,Hit,0.6032,,
0,68,Hit,0.01088,,
1,7454,Hit,1.19264,,
2,40773,Hit,6.52368,,
542,49,Hit,0.00784,,
542,49,Hit,0.00784,,
1288,1456,Hit,0.23296,,
1299,1892,Hit,0.30272,,
1346,1146,Hit,0.18336,,
1362,1100,Hit,0.176,,
1372,15787,Hit,2.52592,,
1372,15787,Hit,2.52592,,
1372,15787,Hit,2.52592,,
134,1460,Hit,0.2336,,
563,509,Hit,0.08144,,
564,115,Hit,0.0184,,
566,515,Hit,0.0824,,
1379,604,Hit,0.09664,,
1379,604,Hit,0.09664,,
1379,625,Hit,0.1,,
1379,604,Hit,0.09664,,
1379,613,Hit,0.09808,,
1379,613,Hit,0.09808,,
1379,643,Hit,0.10288,,
1379,641,Hit,0.10256,,
1379,778,Hit,0.12448,,
1379,778,Hit,0.12448,,
1379,785,Hit,0.1256,,
1379,785,Hit,0.1256,,
1379,785,Hit,0.1256,,
1379,788,Hit,0.12608,,
1379,612,Hit,0.09792,,
1379,781,Hit,0.12496,,
1379,781,Hit,0.12496,,
1379,781,Hit,0.12496,,
1379,778,Hit,0.12448,,
1379,817,Hit,0.13072,,
1379,817,Hit,0.13072,,
1379,878,Hit,0.14048,,
134,1460,Hit,0.2336,,
1377,475,Hit,0.076,,
563,509,Hit,0.08144,,
564,115,Hit,0.0184,,
566,515,Hit,0.0824,,
565,130,Hit,0.0208,,
134,3770,Hit,0.6032,,
1,7454,Hit,1.19264,,
